locus_tag	ftype	length_bp	gene	EC_number	COG	product
HNJIGEIF_00082	CDS	486				hypothetical protein
HNJIGEIF_00083	CDS	315				hypothetical protein
HNJIGEIF_00084	CDS	678	kefC_1			Glutathione-regulated potassium-efflux system protein KefC
HNJIGEIF_00085	CDS	1191				hypothetical protein
HNJIGEIF_00086	CDS	204				hypothetical protein
HNJIGEIF_00087	CDS	588	hmp_1	1.14.15.30	COG1018	3-ketosteroid-9-alpha-monooxygenase, ferredoxin reductase component
HNJIGEIF_00088	CDS	1035				IS630 family transposase ISNma5
HNJIGEIF_00089	CDS	1041				hypothetical protein
HNJIGEIF_00090	CDS	360				hypothetical protein
HNJIGEIF_00091	CDS	480				hypothetical protein
HNJIGEIF_00092	CDS	288	gatC	6.3.5.-	COG0721	Glutamyl-tRNA(Gln) amidotransferase subunit C
HNJIGEIF_00093	CDS	801				hypothetical protein
HNJIGEIF_00094	CDS	1422	sctC			Type 3 secretion system secretin
HNJIGEIF_00095	CDS	993				hypothetical protein
HNJIGEIF_00096	CDS	2208				hypothetical protein
HNJIGEIF_00097	CDS	1302				hypothetical protein
HNJIGEIF_00098	CDS	1002				hypothetical protein
HNJIGEIF_00099	CDS	414				hypothetical protein
HNJIGEIF_00100	CDS	222				hypothetical protein
HNJIGEIF_00101	CDS	1227				IS200/IS605 family transposase ISEc42
HNJIGEIF_00102	CDS	1395				hypothetical protein
HNJIGEIF_00103	CDS	1140				hypothetical protein
HNJIGEIF_00104	CDS	219				hypothetical protein
HNJIGEIF_00105	CDS	654	ribE	2.5.1.9	COG0307	Riboflavin synthase
HNJIGEIF_00106	CDS	1194	ribD		COG0117	Riboflavin biosynthesis protein RibD
HNJIGEIF_00107	CDS	891	plsC	2.3.1.51	COG0204	1-acyl-sn-glycerol-3-phosphate acyltransferase
HNJIGEIF_00108	tRNA	75				tRNA-Gln(ctg)
HNJIGEIF_00109	CDS	7074				hypothetical protein
HNJIGEIF_00110	CDS	105				hypothetical protein
HNJIGEIF_00111	CDS	1647				hypothetical protein
HNJIGEIF_00112	CDS	738	phoU_1		COG0704	Phosphate-specific transport system accessory protein PhoU 
HNJIGEIF_00113	CDS	882	pstB	7.3.2.1	COG1117	Phosphate import ATP-binding protein PstB
HNJIGEIF_00114	CDS	888	pstA		COG0581	Phosphate transport system permease protein PstA
HNJIGEIF_00115	CDS	966	pstC		COG0573	Phosphate transport system permease protein PstC
HNJIGEIF_00116	CDS	1068	sphX		COG0226	Protein SphX
HNJIGEIF_00117	CDS	711	phoP_1		COG0745	Alkaline phosphatase synthesis transcriptional regulatory protein PhoP
HNJIGEIF_00118	CDS	1317	yeeO_1		COG0534	putative FMN/FAD exporter YeeO
HNJIGEIF_00119	CDS	780				hypothetical protein
HNJIGEIF_00120	CDS	2259				hypothetical protein
HNJIGEIF_00121	CDS	285				hypothetical protein
HNJIGEIF_00122	CDS	1215	tdcB	4.3.1.19	COG1171	L-threonine ammonia-lyase
HNJIGEIF_00123	CDS	600	comR			HTH-type transcriptional repressor ComR
HNJIGEIF_00124	CDS	714				hypothetical protein
HNJIGEIF_00125	CDS	276				hypothetical protein
HNJIGEIF_00126	CDS	1842		3.6.3.-	COG1132	Putative multidrug export ATP-binding/permease protein
HNJIGEIF_00127	CDS	483				hypothetical protein
HNJIGEIF_00128	CDS	738	acr1	1.2.1.-	COG3320	Fatty acyl-CoA reductase
HNJIGEIF_00129	CDS	462				hypothetical protein
HNJIGEIF_00130	CDS	423				hypothetical protein
HNJIGEIF_00131	CDS	387				hypothetical protein
HNJIGEIF_00132	CDS	600				hypothetical protein
HNJIGEIF_00133	CDS	858	aroE	1.1.1.25	COG0169	Shikimate dehydrogenase (NADP(+))
HNJIGEIF_00134	CDS	3468	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
HNJIGEIF_00135	CDS	2136	potE_1			Putrescine transporter PotE
HNJIGEIF_00136	CDS	2211	potE_2			Putrescine transporter PotE
HNJIGEIF_00137	CDS	1578	kefC_2		COG0475	Glutathione-regulated potassium-efflux system protein KefC
HNJIGEIF_00138	CDS	1629	ybaL		COG1226	Putative cation/proton antiporter YbaL
HNJIGEIF_00139	CDS	1500	trkH		COG0168	Trk system potassium uptake protein TrkH
HNJIGEIF_00140	CDS	1341	trkA_1		COG0569	Trk system potassium uptake protein TrkA
HNJIGEIF_00141	CDS	1329	ntpJ			Potassium/sodium uptake protein NtpJ
HNJIGEIF_00142	CDS	681	ktrA		COG0569	Ktr system potassium uptake protein A
HNJIGEIF_00143	CDS	1635				hypothetical protein
HNJIGEIF_00144	CDS	615				hypothetical protein
HNJIGEIF_00145	CDS	1362	yhdG_1		COG0531	putative amino acid permease YhdG
HNJIGEIF_00146	CDS	663	trkA_2		COG0569	Trk system potassium uptake protein TrkA
HNJIGEIF_00147	CDS	765				hypothetical protein
HNJIGEIF_00148	CDS	1347	yhdG_2		COG0531	putative amino acid permease YhdG
HNJIGEIF_00149	CDS	2265				hypothetical protein
HNJIGEIF_00150	CDS	2343	potE_3			Putrescine transporter PotE
HNJIGEIF_00151	CDS	2304				hypothetical protein
HNJIGEIF_00152	CDS	1935	nhaP2			K(+)/H(+) antiporter NhaP2
HNJIGEIF_00153	CDS	1461	gdhA_1	1.4.1.3	COG0334	Glutamate dehydrogenase
HNJIGEIF_00154	CDS	504				hypothetical protein
HNJIGEIF_00155	CDS	2127	susB	3.2.1.3		Glucan 1,4-alpha-glucosidase SusB
HNJIGEIF_00156	CDS	513				hypothetical protein
HNJIGEIF_00157	CDS	2019				hypothetical protein
HNJIGEIF_00158	CDS	2298				hypothetical protein
HNJIGEIF_00159	CDS	1116		2.3.1.-	COG3424	Alpha-pyrone synthesis polyketide synthase-like Pks18
HNJIGEIF_00160	CDS	1176				hypothetical protein
HNJIGEIF_00161	CDS	1011				hypothetical protein
HNJIGEIF_00162	CDS	1122	hemW		COG0635	Heme chaperone HemW
HNJIGEIF_00163	CDS	468				hypothetical protein
HNJIGEIF_00164	CDS	483				hypothetical protein
HNJIGEIF_00165	CDS	546				hypothetical protein
HNJIGEIF_00166	CDS	402				hypothetical protein
HNJIGEIF_00167	CDS	333			COG0316	Protein
HNJIGEIF_00168	CDS	1464	sufB		COG0719	FeS cluster assembly protein SufB
HNJIGEIF_00169	CDS	771	sufC		COG0396	putative ATP-dependent transporter SufC
HNJIGEIF_00170	CDS	1341	sufD		COG0719	FeS cluster assembly protein SufD
HNJIGEIF_00171	CDS	1257	csd_1	2.8.1.7		putative cysteine desulfurase
HNJIGEIF_00172	CDS	426	sufE		COG2166	Cysteine desulfuration protein SufE
HNJIGEIF_00173	CDS	429				hypothetical protein
HNJIGEIF_00174	CDS	1596	norR_1			Anaerobic nitric oxide reductase transcription regulator NorR
HNJIGEIF_00175	CDS	417				hypothetical protein
HNJIGEIF_00176	CDS	675				hypothetical protein
HNJIGEIF_00177	CDS	1314				hypothetical protein
HNJIGEIF_00178	CDS	297			COG0776	DNA-binding protein HU
HNJIGEIF_00179	CDS	3177				hypothetical protein
HNJIGEIF_00180	CDS	480				hypothetical protein
HNJIGEIF_00181	CDS	1227	puuB	1.4.3.-		Gamma-glutamylputrescine oxidoreductase
HNJIGEIF_00182	CDS	1014	acuI	1.3.1.84	COG0604	putative acrylyl-CoA reductase AcuI
HNJIGEIF_00183	CDS	708				hypothetical protein
HNJIGEIF_00184	CDS	1146	hpd	1.13.11.27	COG3185	4-hydroxyphenylpyruvate dioxygenase
HNJIGEIF_00185	CDS	1695	dnaA_1			Chromosomal replication initiator protein DnaA
HNJIGEIF_00186	CDS	1149	mccB	4.4.1.1	COG0626	Cystathionine gamma-lyase
HNJIGEIF_00187	CDS	450	rplI			50S ribosomal protein L9
HNJIGEIF_00188	CDS	213	rpsR			30S ribosomal protein S18
HNJIGEIF_00189	CDS	384				hypothetical protein
HNJIGEIF_00190	CDS	1074	prfA		COG0216	Peptide chain release factor 1
HNJIGEIF_00191	CDS	1839	glmS	2.6.1.16	COG0449	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
HNJIGEIF_00192	CDS	786	lptB_1	3.6.3.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
HNJIGEIF_00193	CDS	2148	lptD_1			LPS-assembly protein LptD
HNJIGEIF_00194	CDS	591				hypothetical protein
HNJIGEIF_00195	CDS	768			COG3039	IS5 family transposase ISMac15
HNJIGEIF_00196	CDS	114				hypothetical protein
HNJIGEIF_00197	CDS	642				hypothetical protein
HNJIGEIF_00198	CDS	1149	bshA	2.4.1.-	COG0438	N-acetyl-alpha-D-glucosaminyl L-malate synthase
HNJIGEIF_00199	CDS	651	gloC	3.1.2.6	COG0491	Hydroxyacylglutathione hydrolase GloC
HNJIGEIF_00200	CDS	1434				hypothetical protein
HNJIGEIF_00201	CDS	669	rsmI	2.1.1.198	COG0313	Ribosomal RNA small subunit methyltransferase I
HNJIGEIF_00202	CDS	603				hypothetical protein
HNJIGEIF_00203	CDS	2937				hypothetical protein
HNJIGEIF_00204	CDS	333				hypothetical protein
HNJIGEIF_00205	CDS	474	ybeY	3.1.-.-	COG0319	Endoribonuclease YbeY
HNJIGEIF_00206	CDS	321	hpf			Ribosome hibernation promoting factor
HNJIGEIF_00207	CDS	960	metF	1.5.1.20	COG0685	5,10-methylenetetrahydrofolate reductase
HNJIGEIF_00208	CDS	612				hypothetical protein
HNJIGEIF_00209	CDS	300				hypothetical protein
HNJIGEIF_00210	CDS	450				hypothetical protein
HNJIGEIF_00211	CDS	702	qoxC	1.10.3.-		Quinol oxidase subunit 3
HNJIGEIF_00212	CDS	1746	caaA	1.9.3.1	COG0843	Cytochrome c oxidase polypeptide I+III
HNJIGEIF_00213	CDS	912	ctaC	1.9.3.1	COG1622	Cytochrome c oxidase subunit 2
HNJIGEIF_00214	CDS	744				hypothetical protein
HNJIGEIF_00215	CDS	1263				hypothetical protein
HNJIGEIF_00216	CDS	651				hypothetical protein
HNJIGEIF_00217	CDS	606				hypothetical protein
HNJIGEIF_00218	CDS	1521				hypothetical protein
HNJIGEIF_00219	CDS	3423				hypothetical protein
HNJIGEIF_00220	CDS	654				hypothetical protein
HNJIGEIF_00221	CDS	2367	btuB_1			Vitamin B12 transporter BtuB
HNJIGEIF_00222	CDS	432				hypothetical protein
HNJIGEIF_00223	CDS	558	msrB_1	1.8.4.12		Peptide methionine sulfoxide reductase MsrB
HNJIGEIF_00224	CDS	405				hypothetical protein
HNJIGEIF_00225	CDS	1140	pfp	2.7.1.90		Pyrophosphate--fructose 6-phosphate 1-phosphotransferase
HNJIGEIF_00226	CDS	1158			COG0327	GTP cyclohydrolase 1 type 2 
HNJIGEIF_00227	CDS	777				hypothetical protein
HNJIGEIF_00228	CDS	390				hypothetical protein
HNJIGEIF_00229	CDS	396				hypothetical protein
HNJIGEIF_00230	CDS	384				hypothetical protein
HNJIGEIF_00231	CDS	558	nudF	3.6.1.13	COG0494	ADP-ribose pyrophosphatase
HNJIGEIF_00232	CDS	462				hypothetical protein
HNJIGEIF_00233	CDS	720	rsmE	2.1.1.193	COG1385	Ribosomal RNA small subunit methyltransferase E
HNJIGEIF_00234	CDS	1827	bamA_1			Outer membrane protein assembly factor BamA
HNJIGEIF_00235	CDS	387				hypothetical protein
HNJIGEIF_00236	CDS	1065	mutY	3.2.2.31		Adenine DNA glycosylase
HNJIGEIF_00237	CDS	525				hypothetical protein
HNJIGEIF_00238	CDS	486				hypothetical protein
HNJIGEIF_00239	CDS	291	groS_1		COG0234	10 kDa chaperonin
HNJIGEIF_00240	CDS	1389				hypothetical protein
HNJIGEIF_00241	CDS	942				hypothetical protein
HNJIGEIF_00242	CDS	285				hypothetical protein
HNJIGEIF_00243	CDS	513	msrC	1.8.4.14	COG1956	Free methionine-R-sulfoxide reductase
HNJIGEIF_00244	CDS	2547				hypothetical protein
HNJIGEIF_00245	CDS	186				hypothetical protein
HNJIGEIF_00246	CDS	759			COG0325	Pyridoxal phosphate homeostasis protein
HNJIGEIF_00247	CDS	1197	gpsB			Cell cycle protein GpsB
HNJIGEIF_00248	CDS	858	MTAP_1	2.4.2.1		S-methyl-5'-thioadenosine phosphorylase
HNJIGEIF_00249	CDS	2466	thrA_1		COG0460	Bifunctional aspartokinase/homoserine dehydrogenase 1
HNJIGEIF_00250	CDS	960	thrB	2.7.1.39	COG0083	Homoserine kinase
HNJIGEIF_00251	CDS	855	ispE	2.7.1.148	COG1947	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase
HNJIGEIF_00252	CDS	543				hypothetical protein
HNJIGEIF_00253	CDS	1296	cpdA_1	3.1.4.53		3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA
HNJIGEIF_00254	CDS	2376	mrcA		COG5009	Penicillin-binding protein 1A
HNJIGEIF_00255	CDS	735	lpxH_1	3.6.1.54	COG2908	UDP-2,3-diacylglucosamine hydrolase
HNJIGEIF_00256	CDS	666				hypothetical protein
HNJIGEIF_00257	CDS	927				hypothetical protein
HNJIGEIF_00258	CDS	1197	ispG	1.17.7.3	COG0821	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin)
HNJIGEIF_00259	CDS	951	ldh	1.1.1.27	COG0039	L-lactate dehydrogenase
HNJIGEIF_00260	CDS	840				hypothetical protein
HNJIGEIF_00261	CDS	843				hypothetical protein
HNJIGEIF_00262	CDS	1398				hypothetical protein
HNJIGEIF_00263	CDS	654	uvrY		COG2197	Response regulator UvrY
HNJIGEIF_00264	CDS	942				hypothetical protein
HNJIGEIF_00265	CDS	294				hypothetical protein
HNJIGEIF_00266	CDS	300				hypothetical protein
HNJIGEIF_00267	CDS	1293	aroA	2.5.1.19	COG0128	3-phosphoshikimate 1-carboxyvinyltransferase
HNJIGEIF_00268	CDS	1086	add	3.5.4.4	COG1816	Adenosine deaminase
HNJIGEIF_00269	CDS	363	tatA			Sec-independent protein translocase protein TatA
HNJIGEIF_00270	CDS	1545	gatA	6.3.5.7	COG0154	Glutamyl-tRNA(Gln) amidotransferase subunit A
HNJIGEIF_00271	CDS	867	sucD	6.2.1.5	COG0074	Succinate--CoA ligase [ADP-forming] subunit alpha
HNJIGEIF_00272	CDS	1410		1.17.1.9		Formate dehydrogenase, mitochondrial
HNJIGEIF_00273	CDS	492				hypothetical protein
HNJIGEIF_00274	CDS	984		1.18.1.2	COG0492	Ferredoxin--NADP reductase
HNJIGEIF_00275	CDS	1308	arcA	3.5.3.6		Arginine deiminase
HNJIGEIF_00276	CDS	189				hypothetical protein
HNJIGEIF_00277	CDS	798	truA	5.4.99.12	COG0101	tRNA pseudouridine synthase A
HNJIGEIF_00278	CDS	540	aroK	2.7.1.71	COG0703	Shikimate kinase
HNJIGEIF_00279	CDS	534				hypothetical protein
HNJIGEIF_00280	CDS	1713				hypothetical protein
HNJIGEIF_00281	CDS	1521	malQ	2.4.1.25	COG1640	4-alpha-glucanotransferase
HNJIGEIF_00282	CDS	1773	treZ	3.2.1.141	COG0296	Malto-oligosyltrehalose trehalohydrolase
HNJIGEIF_00283	CDS	294				hypothetical protein
HNJIGEIF_00284	CDS	501				hypothetical protein
HNJIGEIF_00285	CDS	231				hypothetical protein
HNJIGEIF_00286	CDS	1257	htpX_1	3.4.24.-		Protease HtpX
HNJIGEIF_00287	CDS	4107	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
HNJIGEIF_00288	CDS	465				hypothetical protein
HNJIGEIF_00289	CDS	966	ghrB	1.1.1.79	COG1052	Glyoxylate/hydroxypyruvate reductase B
HNJIGEIF_00290	CDS	2460	mutS2	3.1.-.-		Endonuclease MutS2
HNJIGEIF_00291	CDS	1014	glmU			Bifunctional protein GlmU
HNJIGEIF_00292	CDS	915				hypothetical protein
HNJIGEIF_00293	CDS	153				hypothetical protein
HNJIGEIF_00294	CDS	432				hypothetical protein
HNJIGEIF_00295	CDS	384				hypothetical protein
HNJIGEIF_00296	CDS	144				hypothetical protein
HNJIGEIF_00297	CDS	507				hypothetical protein
HNJIGEIF_00298	CDS	1515				hypothetical protein
HNJIGEIF_00299	CDS	393				hypothetical protein
HNJIGEIF_00300	CDS	102				hypothetical protein
HNJIGEIF_00301	CDS	225				hypothetical protein
HNJIGEIF_00302	CDS	348				hypothetical protein
HNJIGEIF_00303	CDS	288				hypothetical protein
HNJIGEIF_00304	CDS	315				hypothetical protein
HNJIGEIF_00305	CDS	246				hypothetical protein
HNJIGEIF_00306	CDS	984	galE_1	5.1.3.2	COG1087	UDP-glucose 4-epimerase
HNJIGEIF_00307	CDS	804	wbbD	2.4.1.303	COG0463	UDP-Gal:alpha-D-GlcNAc-diphosphoundecaprenol beta-1,3-galactosyltransferase
HNJIGEIF_00308	CDS	1113		2.4.1.337	COG0438	Alpha-monoglucosyldiacylglycerol synthase
HNJIGEIF_00309	CDS	1152	pimB_1	2.4.1.346	COG0438	GDP-mannose-dependent alpha-(1-6)-phosphatidylinositol monomannoside mannosyltransferase
HNJIGEIF_00310	CDS	948				hypothetical protein
HNJIGEIF_00311	CDS	813	epsE	2.4.-.-	COG0463	Putative glycosyltransferase EpsE
HNJIGEIF_00312	CDS	933				hypothetical protein
HNJIGEIF_00313	CDS	1287				hypothetical protein
HNJIGEIF_00314	CDS	852				hypothetical protein
HNJIGEIF_00315	CDS	153				hypothetical protein
HNJIGEIF_00316	CDS	261				hypothetical protein
HNJIGEIF_00317	CDS	177				hypothetical protein
HNJIGEIF_00318	CDS	960				hypothetical protein
HNJIGEIF_00319	CDS	1539				hypothetical protein
HNJIGEIF_00320	CDS	1254				hypothetical protein
HNJIGEIF_00321	CDS	231				hypothetical protein
HNJIGEIF_00322	CDS	255				hypothetical protein
HNJIGEIF_00323	CDS	1449	wbpA	1.1.1.136	COG0677	UDP-N-acetyl-D-glucosamine 6-dehydrogenase
HNJIGEIF_00324	CDS	1899	wecA_1	2.7.8.33		Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase
HNJIGEIF_00325	CDS	1005	arnA			Bifunctional polymyxin resistance protein ArnA
HNJIGEIF_00326	CDS	3093				hypothetical protein
HNJIGEIF_00327	CDS	909	rfbD	1.1.1.133	COG1091	dTDP-4-dehydrorhamnose reductase
HNJIGEIF_00328	CDS	1188				IS200/IS605 family transposase ISTel3
HNJIGEIF_00329	CDS	561	rmlC	5.1.3.13	COG1898	dTDP-4-dehydrorhamnose 3,5-epimerase
HNJIGEIF_00330	CDS	933	rmlA	2.7.7.24	COG1209	Glucose-1-phosphate thymidylyltransferase
HNJIGEIF_00331	CDS	1029	rffG	4.2.1.46	COG1088	dTDP-glucose 4,6-dehydratase 2
HNJIGEIF_00332	CDS	489				hypothetical protein
HNJIGEIF_00333	CDS	363				hypothetical protein
HNJIGEIF_00334	CDS	1782				hypothetical protein
HNJIGEIF_00335	CDS	660				hypothetical protein
HNJIGEIF_00336	CDS	414				hypothetical protein
HNJIGEIF_00337	CDS	420				hypothetical protein
HNJIGEIF_00338	CDS	1920	cysNC		COG0529	Bifunctional enzyme CysN/CysC
HNJIGEIF_00339	CDS	912	cysD	2.7.7.4	COG0175	Sulfate adenylyltransferase subunit 2
HNJIGEIF_00340	CDS	519	per	2.6.1.102	COG0399	GDP-perosamine synthase
HNJIGEIF_00341	CDS	486	arnB	2.6.1.87	COG0399	UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase
HNJIGEIF_00342	CDS	621	epsL	2.-.-.-	COG2148	putative sugar transferase EpsL
HNJIGEIF_00343	CDS	639	lpxD	2.3.1.191		UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase
HNJIGEIF_00344	CDS	1215				hypothetical protein
HNJIGEIF_00345	CDS	1566	fcl_1	1.1.1.271		GDP-L-fucose synthase
HNJIGEIF_00346	CDS	600				hypothetical protein
HNJIGEIF_00347	CDS	2217	dxs_1	2.2.1.7		1-deoxy-D-xylulose-5-phosphate synthase
HNJIGEIF_00348	CDS	1461	sasA_2	2.7.-.-		Adaptive-response sensory-kinase SasA
HNJIGEIF_00349	CDS	714	phoP_2		COG0745	Alkaline phosphatase synthesis transcriptional regulatory protein PhoP
HNJIGEIF_00350	CDS	1260	alr1	5.1.1.1	COG0787	Alanine racemase 1
HNJIGEIF_00351	CDS	2328	dap4	3.4.14.5		Dipeptidyl aminopeptidase 4
HNJIGEIF_00352	CDS	957	glpQ_1	3.1.4.46	COG0584	Glycerophosphodiester phosphodiesterase
HNJIGEIF_00353	CDS	321				hypothetical protein
HNJIGEIF_00354	CDS	1365	otsA	2.4.1.15	COG0380	Trehalose-6-phosphate synthase
HNJIGEIF_00355	CDS	699	otsB	3.1.3.12	COG1877	Trehalose-6-phosphate phosphatase
HNJIGEIF_00356	CDS	1071	algA_1		COG0662	Alginate biosynthesis protein AlgA
HNJIGEIF_00357	CDS	441				hypothetical protein
HNJIGEIF_00358	CDS	390			COG3039	IS5 family transposase IS1648
HNJIGEIF_00359	CDS	333				hypothetical protein
HNJIGEIF_00360	CDS	522				hypothetical protein
HNJIGEIF_00361	CDS	1704				hypothetical protein
HNJIGEIF_00362	CDS	1164	yycB		COG2807	putative transporter YycB
HNJIGEIF_00363	CDS	447				hypothetical protein
HNJIGEIF_00364	CDS	1683	nrdZ	1.17.4.1		Vitamin B12-dependent ribonucleoside-diphosphate reductase
HNJIGEIF_00365	CDS	975	nrdB	1.17.4.1	COG0208	Ribonucleoside-diphosphate reductase subunit beta
HNJIGEIF_00366	CDS	927				hypothetical protein
HNJIGEIF_00367	CDS	1365	sasA_3	2.7.-.-		Adaptive-response sensory-kinase SasA
HNJIGEIF_00368	CDS	717				hypothetical protein
HNJIGEIF_00369	CDS	1401		1.13.11.75		Apocarotenoid-15,15'-oxygenase
HNJIGEIF_00370	CDS	165				hypothetical protein
HNJIGEIF_00371	CDS	1176				hypothetical protein
HNJIGEIF_00372	CDS	258				hypothetical protein
HNJIGEIF_00373	CDS	414				hypothetical protein
HNJIGEIF_00374	CDS	834				hypothetical protein
HNJIGEIF_00375	CDS	216				hypothetical protein
HNJIGEIF_00376	CDS	474				hypothetical protein
HNJIGEIF_00377	CDS	570				hypothetical protein
HNJIGEIF_00378	CDS	873				hypothetical protein
HNJIGEIF_00379	CDS	651				hypothetical protein
HNJIGEIF_00380	CDS	726				hypothetical protein
HNJIGEIF_00381	CDS	2595				hypothetical protein
HNJIGEIF_00382	CDS	1344	mmgC	1.3.99.-	COG1960	Acyl-CoA dehydrogenase
HNJIGEIF_00383	CDS	315				hypothetical protein
HNJIGEIF_00384	CDS	228				hypothetical protein
HNJIGEIF_00385	CDS	2658				hypothetical protein
HNJIGEIF_00386	CDS	231				hypothetical protein
HNJIGEIF_00387	CDS	1620				hypothetical protein
HNJIGEIF_00388	CDS	378	smtB		COG0640	Transcriptional repressor SmtB
